"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility"
"K-DEA Enterprises, LLC","Southeast Georgia Treatment Center","816 Professional Center Drive","","Eastman","GA","31023","","","(478) 374-0390","","","","","32.1843538","-83.1790712","OTP"
"Preferred Treatment","Preferred Treatment Center (PTC)","1101 Hillcrest Parkway, Unit F","","Dublin","GA","31021","","","(478) 274-8426","","","","","32.5466883","-82.9381346","OTP"
"Genesis Treatment Center","","1022 Hillcrest Parkway, Suite 106","","Dublin","GA","31201","","","(478) 272-5020","","","","","32.547052","-82.931907","OTP"
"Extended Wellness","Extended Wellness","604 Broad Foot Drive","","Vidalia","GA","30474","","","(478) 274-8426","","","","","32.218091","-82.3959696","OTP"
"New Pointe Treatment Center, LLC","","1031 Keith Dr","","Perry","GA","31069","","","478-987-7912","","","","","32.460191","-83.7078779","OTP"
"HealthQwest, LLC","","607 Russell Parkway","","Warner Robins","GA","31088","","","(478) 225-9860","","","","","32.5932653","-83.6331387","OTP"
"BHG XLV, LLC d/b/a BHG Tifton Treatment Center","","2402 N. Tift Ave.","","Tifton","GA","31794","","","(229) 382-7898","","","","","31.46921","-83.503289","OTP"
"Georgia Treatment Services LLC","","6132 Hawkinsville Rd","","Macon","GA","31216","","","(478) 788.0066","","","","","32.7384167","-83.6553528","OTP"
"Trinity Treatment Center, Inc","","1221 Newberg Avenue","","Macon","GA","31206","","","(478) 788-5600","","","","","32.80305","-83.662271","OTP"
"HealthQwest Frontiers, LLC","","890 Northwoods Plaza","","Macon","GA","31204","","","(478) 330-7164","","","","","32.874026","-83.666234","OTP"
"New Start Treatment - Milledgeville","","1211 Columbia Dr.","","Milledgeville","GA","30161","","","478-451-5210","","","","","33.0931432","-83.2401662","OTP"
"Reliance Treatment Center of Statesboro, LLC","Reliance Treatment Center of Statesboro","201 Donehoo Street","","Statesboro","GA","30458","","","(912) 489-7827","","","","","32.4425116","-81.7732967","OTP"
"FCI Jesup","","2600 Highway 301 South","","Jesup","GA","31599","","","","","","","","31.636466","-81.8608332","OTP"
"Beyond Your Ordinary Inc","Nygil M. Cullins Recovery Treatment Center","2101 Tebeau Street","","Waycross","GA","31501","","","912-428-5847","","","","","31.229526","-82.345305","OTP"
"Treatment Center of Waycross","","1766 Memorial Drive, Suite-3","","Waycross","GA","31501","","","(912) 285-2658","","","","","31.205139","-82.336153","OTP"
"Platinum Recovery, LLC","","1560 E. Forsyth Street","","Americus","GA","31709","","","(678) 972-8577","","","","","32.0717495","-84.210475","OTP"
"BHG XLIV, LLC d/b/a BHG Albany Treatment Center","","2607 Ledo Rd.","","Albany","GA","31707","","","(229) 903-0022","","","","","31.622709","-84.202115","OTP"
"Treatment Center of Valdosta","","2301 University Dr.","","Valdosta","GA","31602","","","(229) 242-4673","","","","","30.863882","-83.283242","OTP"
"Colonial Management Group, LP","Augusta Metro Treatment Center","2357 Tobacco Road","","Augusta","GA","30906","","","(706) 722-3855","","","","","33.37402","-82.049251","OTP"
"BHG LII, LLC","BHG Jackson Treatment Center","794 McDonough St., Suite 104","","Jackson","GA","30233","","","(770) 775-9044","","","","","33.3012589","-83.9747156","OTP"
"Coastal Community Behavioral Health, LLC","Coastal Community Behavioral Health - Brunswick","100 Cornerstone Drive","","Brunswick","GA","31523","","","(912) 262-0311","","","","","31.2368995","-81.5394864","OTP"
"Metro Treatment of Georgia, LP","Savannah Treatment Center","145-B Southern Blvd.","","Savannah","GA","31322","","","(912) 233-6430","","","","","32.063299","-81.152583","OTP"
"Treatment Center of Augusta","","4158 Washington Rd. Suite 4","","Evans","GA","30809","","","(706) 854-9225","","","","","33.5186072","-82.114764","OTP"
"HealthQwest Frontiers, LLC","","6707 Forest Park Dr","","Savannah","GA","31406","","","(912) 335-1699","","","","","32.0119773","-81.1095571","OTP"
"Augusta Addiction Associates, LLC","MedMark Treatment Centers - Savannah","600 Commercial Court","","Savannah","GA","31406","","","(912) 352-4357","","","","","32.0056604","-81.1084886","OTP"
"New Start Treatment, LLC","New Start Treatment","600 South 8th Street","","Griffin","GA","30224","","","(678) 603-1381","","","","","33.240345","-84.265656","OTP"
"Beyond Your Ordinary, Inc","Beyond Your Ordinary Treatment Center","97 Atlanta St","","McDonough","GA","30253","","","(678) 671-3547","","","","","33.4506214","-84.1468526","OTP"
"Bright Star Healthcare Group","Bright Star","1545 Pennsylvania Avenue","","McDonough","GA","30253","","","(678) 770-5901","","","","","33.4354071","-84.1736577","OTP"
"Alliance Recovery Center Conyers","Alliance Recovery Centers","3430 Highway 20","","Conyers","GA","30013","","","(770) 922-4482","","","","","33.5976169","-84.014243","OTP"
"HealthQwest, LLC","","1233 Eagles Landing Parkway","","Stockbridge","GA","30281","","","(770) 474-4009","","","","","33.508045","-84.226388","OTP"
"Columbus Addiction Associates, LLC","MedMark Treatment Centers Columbus North","5617 Princeton Avenue","","Columbus","GA","31904","","","(706) 257-7722","","","","","32.524118","-84.961708","OTP"
"Metro Treatment of Georgia, LP","Columbus Metro Treatment Center","1135 13th Street","","Columbus","GA","31902","","","(706) 887-5030","","","","","32.4706523","-84.9758076","OTP"
"Coastal Community Behavioral Health, LLC","","5155 GA Highway 40 E","","Saint Marys","GA","31558","","","(912) 434-1794","","","","","30.7615259","-81.6065195","OTP"
"Alliance Recovery Center Athens","Alliance Recovery Center","119 Sycamore Dr","","Athens","GA","30606","","","(706) 850-2121","","","","","33.9468297","-83.4178837","OTP"
"Access Health Treatment Center","","105-A Bradford Square","","Fayetteville","GA","30215","","","(770) 742-3846","","","","","33.4450519","-84.46843","OTP"
"Georgia CTC, LLC","Loganville Comprehensive Treatment Center","3543 Highway 81","","Loganville","GA","30052","","","(678) 615-2382","","","","","33.8212997","-83.8769958","OTP"
"DM & ADR, Inc.","","1710 Commerce Rd.","","Athens","GA","30607","","","(706) 552-0688","","","","","33.994299","-83.37997","OTP"
"Consecrated Care, Inc.","Consecrated Care, Inc.","217 Arrowhead Blvd., Ste. B-1","","Jonesboro","GA","30236","","","(770) 472-9110","","","","","33.577895","-84.382837","OTP"
"Bainbridge Treatment Center","","931 S. West Street","","Bainbridge","GA","39819","","","(229) 248-4220","","","","","30.8957056","-84.5759952","OTP"
"The Genesis Center of Winder, LLC","","206 E. Broad St","","Winder","GA","30680","","","(678) 900-1579","","","","","33.9981124","-83.7112996","OTP"
"Crossroads Treatment Center of LaGrange, PC","","229 South Davis Road, Suite 900","","LaGrange","GA","30241","","","(706) 756-1489","","","","","33.050788","-84.983787","OTP"
"Treatment Center of Newnan","","931 Lower Fayetteville Road Suite K","","Newnan","GA","30263","","","(770) 502-7055","","","","","33.375057","-84.759313","OTP"
"USP Atlanta","","601 McDonough Blvd SE","","Atlanta","GA","30315","","","","","","","","33.711691","-84.371074","OTP"
"Alliance Recovery Center, Inc.","","1116 E. Ponce De Leon Ave.","","Decatur","GA","30030","","","(404) 377-7669","","","","","33.776787","-84.2800254","OTP"
"Medicine Wheel Clinic - Winder, Inc.","","85 Auburn Park Drive","","Auburn","GA","30011","","","(770) 277-7958","","","","","34.008369","-83.841217","OTP"
"Department of Veterans Affairs","VA MED CENTER DRUG DEPEND TREAT","1670 Clairmont Road","","Decatur","GA","30033","","","(404) 321-6111 x7392","","","","","33.802076","-84.310257","OTP"
"Toxicology Associates of North Georgia Gwinnett, Inc.","Toxicology Associates of North Georgia Gwinnett, Inc.","751 Collins Hill Rd.","","Lawrenceville","GA","30046","","","(770) 248-1616","","","","","33.976175","-83.9947019","OTP"
"GPA Treatment, Inc.","","4255 Chamblee-Tucker Rd.","","Doraville","GA","30340","","","(770) 493-1922","","","","","33.88021","-84.225319","OTP"
"New Day Treatment Center, Inc.","","2563 Martin Luther King Jr. Drive","","Atlanta","GA","30311","","","(404) 699-7774","","","","","33.7537205","-84.4718254","OTP"
"Robert W. Dail Memorial Treatment Center","Robert W. Dail Memorial Treatment Center","734 Hospital Road","","Commerce","GA","30529","","","(706) 335-5180","","","","","34.217911","-83.467805","OTP"
"Lakeland Centres - Atlanta","","6063 Peachtree Parkway- Suite #103B","","Norcross","GA","30092","","","(770) 840-9912","","","","","33.9546502","-84.2341775","OTP"
"HealthQwest Frontiers, LLC","","4271 South Lee Street","","Buford","GA","30518","","","(678) 765-8160","","","","","34.0976534","-84.0006204","OTP"
"HealthQwest, LLC","","2109 Fairburn Rd. Unit A","","Douglasville","GA","30135","","","(770) 726-7958","","","","","33.7463576","-84.7016139","OTP"
"Toxicology Associates of North Georgia, Inc.","Toxicology Associates of North Georgia, Inc.","1700 Cumberland Point Drive, Suite 1","","Marietta","GA","30067","","","(770) 612-8264","","","","","33.911514","-84.492301","OTP"
"Harbor Springs Counseling Services","","1790 Mulkey Road Suite 3A","","Austell","GA","30106","","","(770) 693-9388","","","","","33.8593133","-84.6057449","OTP"
